sensor_id,temperature,humidity,gas_resistance,label
0,32.524048,37.313404,68030.828125,monastrel
1,32.360355,36.738174,52859.796875,monastrel
2,33.072929,34.975506,56387.664062,monastrel
3,33.107456,36.23513,85819.648438,monastrel
4,33.818512,34.84013,55363.320312,monastrel
5,33.846329,33.531647,50632.910156,monastrel
6,33.59325,35.005173,83961.953125,monastrel
7,33.648491,34.959938,48283.667969,monastrel
0,32.46357,37.206829,3395647.75,monastrel
1,32.365314,36.627026,2435196.25,monastrel
2,33.095047,34.870548,2919458.25,monastrel
3,33.095001,36.122253,4424520.5,monastrel
4,33.840973,34.696316,2441728.75,monastrel
5,33.866158,33.403862,2405167.25,monastrel
6,33.598186,34.900814,4486309.0,monastrel
7,33.648491,34.802849,2457108.5,monastrel
0,32.652565,36.287651,2922583.0,monastrel
1,32.672787,35.739109,2129451.5,monastrel
2,33.34816,33.963749,2619763.25,monastrel
3,33.408806,35.177246,3721944.5,monastrel
4,34.177876,33.670242,2085539.75,monastrel
5,34.173531,32.587032,2087133.75,monastrel
6,33.936607,33.982452,3714350.5,monastrel
7,33.966854,33.901211,2068164.625,monastrel
0,32.975117,34.09927,2729756.75,monastrel
1,33.091843,33.407467,1984015.5,monastrel
2,33.709404,31.734472,2558401.0,monastrel
3,33.87204,32.823864,3442740.0,monastrel
4,34.587151,31.27746,1926622.75,monastrel
5,34.562702,30.490377,1915809.125,monastrel
6,34.354073,31.670504,3261795.75,monastrel
7,34.418488,31.572994,1871174.0,monastrel
0,33.529507,33.906261,223923.03125,monastrel
1,33.644798,33.208237,163735.203125,monastrel
2,34.3041,31.545364,186861.3125,monastrel
3,34.437389,32.619904,253716.546875,monastrel
4,35.176109,31.05814,160804.015625,monastrel
5,35.127872,30.293295,155670.421875,monastrel
6,34.924698,31.461849,267014.34375,monastrel
7,35.003391,31.354563,158415.84375,monastrel
0,33.854584,33.650032,220594.578125,monastrel
1,34.011787,32.921719,164207.828125,monastrel
2,34.682549,31.265837,182076.8125,monastrel
3,34.81097,32.311134,246925.484375,monastrel
4,35.585392,30.787708,158415.84375,monastrel
5,35.517052,29.993315,154402.890625,monastrel
6,35.319939,31.208099,261892.578125,monastrel
7,35.398262,31.061274,154823.109375,monastrel
0,33.985622,33.346001,227505.0,monastrel
1,34.172966,32.592449,169256.203125,monastrel
2,34.842285,30.936947,184637.578125,monastrel
3,34.970364,31.993525,248906.171875,monastrel
4,35.787537,30.435476,159750.390625,monastrel
5,35.717834,29.74576,156527.0625,monastrel
6,35.544731,30.875843,261091.28125,monastrel
7,35.585831,30.737482,155954.921875,monastrel
5,35.995464,29.459223,66132.78125,monastrel
0,34.242661,33.129562,89323.101562,monastrel
1,34.450691,32.297867,69245.335938,monastrel
2,35.151924,30.488802,73289.4375,monastrel
3,35.274212,31.735987,112700.859375,monastrel
4,36.096992,30.116417,71388.734375,monastrel
6,35.833752,30.58412,109168.445312,monastrel
7,35.90173,30.437376,62545.808594,monastrel
1,34.807762,31.976816,95970.007812,monastrel
5,36.359856,29.146164,88673.367188,monastrel
0,34.57782,32.777241,123106.515625,monastrel
2,35.518089,30.122021,101026.046875,monastrel
3,35.645306,31.410622,153155.84375,monastrel
4,36.441395,29.863417,98291.421875,monastrel
6,36.169708,30.274288,147720.71875,monastrel
7,36.284267,30.143673,83469.1875,monastrel
1,34.996216,31.657173,113752.5,monastrel
5,36.508591,28.848715,105785.125,monastrel
0,34.726498,32.665413,145454.546875,monastrel
2,35.680286,30.049885,118326.789062,monastrel
3,35.852024,30.915976,178272.984375,monastrel
4,36.601112,29.412165,114978.664062,monastrel
6,36.317924,29.936209,169256.203125,monastrel
7,36.449623,29.932209,98518.375,monastrel
1,35.12764,31.304079,128675.546875,monastrel
5,36.63253,28.515085,118491.09375,monastrel
0,34.822258,32.153057,163735.203125,monastrel
2,35.822819,29.726946,131856.8125,monastrel
3,36.006439,30.719452,202531.640625,monastrel
4,36.74836,29.14201,128192.289062,monastrel
6,36.458733,29.581064,186249.546875,monastrel
7,36.568089,29.411554,109378.335938,monastrel
1,34.711052,31.111063,10185887.0,monastrel
5,36.233437,28.371208,9899698.0,monastrel
0,34.371178,31.909784,13814503.0,monastrel
2,35.3731,29.518749,11652916.0,monastrel
3,35.597984,30.590366,17156020.0,monastrel
4,36.326591,28.99683,9917676.0,monastrel
6,36.046196,29.430819,17499600.0,monastrel
7,36.111507,29.257732,9872853.0,monastrel
1,33.746468,30.635468,7260802.0,monastrel
2,34.38274,29.062061,8899511.0,monastrel
4,35.343315,28.566099,6968949.5,monastrel
5,35.234463,27.919226,7045366.5,monastrel
0,33.491707,31.564425,9881785.0,monastrel
3,34.63414,30.008419,12087053.0,monastrel
6,35.090202,28.996443,11690332.0,monastrel
7,35.168743,28.68553,6691443.5,monastrel
0,33.373268,31.451002,7265632.0,monastrel
1,33.528255,30.47962,5259711.0,monastrel
2,34.156654,28.927383,7027235.5,monastrel
3,34.377617,29.849564,8451896.0,monastrel
4,35.046341,28.52894,5008866.0,monastrel
5,34.964272,27.805042,5107232.0,monastrel
6,34.858002,28.813229,8329435.5,monastrel
7,34.991051,28.653183,4690524.0,monastrel
0,33.993183,31.520582,420275.0,monastrel
1,34.15065,30.525261,304943.40625,monastrel
2,34.842285,28.999182,355432.15625,monastrel
3,35.000252,29.894547,301975.8125,monastrel
4,35.715164,28.604279,254853.15625,monastrel
5,35.64595,27.92601,210266.9375,monastrel
6,35.552143,28.829399,419242.59375,monastrel
7,35.709229,28.749819,183842.015625,monastrel
5,35.948368,27.87784,145827.40625,monastrel
0,34.189739,31.465113,393165.6875,monastrel
1,34.373817,30.460747,285794.03125,monastrel
2,35.122437,28.954939,321911.34375,monastrel
3,35.246819,29.85467,253716.546875,monastrel
4,35.994675,28.583738,210266.9375,monastrel
6,35.83128,28.825943,339522.53125,monastrel
7,35.995514,28.679659,120754.71875,monastrel
5,36.089664,27.821529,128772.632812,monastrel
0,34.275421,31.353708,377720.40625,monastrel
1,34.463085,30.361309,277883.3125,monastrel
2,35.245308,28.839348,307138.5625,monastrel
3,35.3564,29.762777,223336.96875,monastrel
4,36.129436,28.488537,174090.453125,monastrel
6,35.957268,28.752785,246390.765625,monastrel
7,36.128784,28.612848,99494.75,monastrel
5,36.530899,27.745306,49747.375,monastrel
0,34.713898,31.264072,139509.53125,monastrel
1,34.909428,30.288897,62591.6875,monastrel
2,35.6852,28.964449,54202.835938,monastrel
3,35.822136,29.686148,61820.816406,monastrel
4,36.588634,28.438654,48586.070312,monastrel
6,36.438969,28.784107,73796.484375,monastrel
7,36.573021,28.612677,44016.507812,monastrel
1,35.164833,30.165007,56424.949219,monastrel
5,36.77631,27.646551,50632.910156,monastrel
0,34.928097,31.119249,50572.894531,monastrel
2,35.940781,28.544371,48338.367188,monastrel
3,36.0961,29.592142,53962.902344,monastrel
4,36.878132,28.328794,53556.484375,monastrel
6,36.698349,28.621483,75762.0625,monastrel
7,36.817356,28.398497,44336.683594,monastrel
1,35.296257,30.012842,50483.140625,monastrel
5,36.900249,27.503181,52794.390625,monastrel
0,35.0541,31.011675,43345.75,monastrel
2,36.053825,28.382095,42953.019531,monastrel
3,36.235573,29.435097,34206.308594,monastrel
4,37.002914,28.182013,53288.925781,monastrel
6,36.819393,28.441114,81476.765625,monastrel
7,36.945694,28.235941,45616.535156,monastrel
1,35.363213,29.83795,76440.726562,monastrel
5,36.99445,27.385836,45422.285156,monastrel
0,35.119621,30.841717,72295.960938,monastrel
2,36.130009,28.51502,55724.859375,monastrel
3,36.312782,29.329025,43301.757812,monastrel
4,37.077782,28.014095,44290.65625,monastrel
6,36.871269,28.288498,65674.703125,monastrel
7,37.046883,28.071129,36394.65625,monastrel
1,34.931744,29.691656,3455811.0,monastrel
5,36.560646,27.263645,1592844.625,monastrel
0,34.68618,30.722075,2746228.75,monastrel
2,35.67783,28.269127,2261733.75,monastrel
3,35.87693,29.194029,959925.0,monastrel
4,36.633556,27.807173,1320012.875,monastrel
6,36.424149,28.165442,2257993.5,monastrel
7,36.610043,27.960533,1188969.5,monastrel
1,33.937401,29.456236,2071302.125,monastrel
5,35.566628,27.128881,908204.0,monastrel
0,33.753784,30.590895,1959808.625,monastrel
2,34.665348,28.056025,1550340.625,monastrel
3,34.870743,29.087694,573508.8125,monastrel
4,35.625324,27.93358,680398.6875,monastrel
6,35.455803,28.064888,1175660.125,monastrel
7,35.588295,27.783422,643216.0625,monastrel
5,35.301392,27.74272,482677.34375,monastrel
1,33.696873,29.901978,882378.3125,monastrel
2,34.409771,28.668631,850498.3125,monastrel
4,35.413197,28.65663,421052.625,monastrel
0,33.582428,30.846653,1268504.125,monastrel
3,34.589314,29.693604,416938.125,monastrel
6,35.310055,28.701473,668407.3125,monastrel
7,35.38839,28.46961,349249.65625,monastrel
5,35.978111,27.926043,49805.449219,monastrel
1,34.351501,29.989239,89229.695312,monastrel
2,35.088032,28.82551,81166.773438,monastrel
4,36.104485,28.745607,51488.335938,monastrel
0,34.219978,31.002031,134878.8125,monastrel
3,35.234364,29.85354,63713.289062,monastrel
6,35.981968,28.828018,77622.804688,monastrel
7,36.079426,28.619728,38426.898438,monastrel
5,36.245831,27.909136,48174.632812,monastrel
1,34.58707,29.999281,97840.625,monastrel
2,35.348526,28.813965,85049.835938,monastrel
4,36.349052,28.699497,52437.527344,monastrel
0,34.434181,30.9482,147592.96875,monastrel
3,35.478436,29.694651,72295.960938,monastrel
6,36.228996,28.771158,73732.71875,monastrel
7,36.318821,28.601515,34399.355469,monastrel
5,36.332588,27.859522,37580.738281,monastrel
0,34.522377,30.882652,132265.5625,monastrel
1,34.686256,29.923529,108405.671875,monastrel
2,35.422249,28.768753,59785.148438,monastrel
4,36.451378,28.635183,39024.390625,monastrel
3,35.568096,29.680138,42866.710938,monastrel
6,36.322868,28.745724,55652.175781,monastrel
7,36.42741,28.571796,26998.523438,monastrel
1,35.107803,29.831762,107315.03125,monastrel
5,36.768871,27.874275,32241.814453,monastrel
0,34.938179,30.819168,117593.015625,monastrel
2,35.876884,28.768562,49430.390625,monastrel
4,36.88562,28.605776,34454.914062,monastrel
3,36.028854,29.597378,40660.738281,monastrel
6,36.762577,28.711504,53657.515625,monastrel
7,36.913609,28.788904,30061.0625,monastrel
1,35.333454,29.739197,130745.65625,monastrel
5,37.019238,27.770178,24432.142578,monastrel
0,35.132221,30.689692,112700.859375,monastrel
2,36.090687,28.655186,27015.619141,monastrel
4,37.120213,28.519234,19912.880859,monastrel
3,36.255497,29.549988,21241.287109,monastrel
6,36.994785,28.636417,27379.679688,monastrel
7,37.160408,28.456696,14333.707031,monastrel
1,35.459919,29.553009,120669.335938,monastrel
5,37.135746,27.763081,15511.391602,monastrel
0,35.22546,30.522591,117350.445312,monastrel
2,36.193901,28.606798,22980.251953,monastrel
3,36.385006,29.43726,20585.396484,monastrel
4,37.257469,28.508757,16727.652344,monastrel
6,37.123238,28.61965,25697.650391,monastrel
7,37.291214,28.428911,12794.881836,monastrel
1,35.541748,29.402433,46511.628906,monastrel
5,37.200195,27.774349,20447.285156,monastrel
0,35.30106,30.37664,139168.25,monastrel
2,36.292202,28.557974,33481.558594,monastrel
3,36.472176,29.428158,29705.267578,monastrel
4,37.347313,28.499748,22566.996094,monastrel
1,35.12516,29.280695,1439718.75,monastrel
5,36.771351,27.714596,352860.09375,monastrel
6,37.20723,28.553946,34678.949219,monastrel
7,37.357853,28.305664,17424.449219,monastrel
0,34.857536,30.262415,8906768.0,monastrel
2,35.84985,28.238237,890434.8125,monastrel
3,36.023872,29.331322,509326.03125,monastrel
4,36.910576,28.41618,361837.46875,monastrel
6,36.772457,28.515621,721380.75,monastrel
7,36.893864,28.494989,286273.40625,monastrel
1,34.101055,29.088816,834385.8125,monastrel
5,35.720314,27.73291,242711.546875,monastrel
0,33.932701,30.08795,2907026.25,monastrel
2,34.80051,28.404858,587830.0625,monastrel
3,35.022667,29.208082,325285.90625,monastrel
4,35.854919,28.385754,251288.34375,monastrel
6,35.752235,28.555164,456226.34375,monastrel
7,35.869648,28.405247,193244.015625,monastrel
5,35.455078,28.166351,201099.765625,monastrel
1,33.793579,29.544649,636617.9375,monastrel
2,34.510529,28.912544,421052.625,monastrel
0,33.693306,30.494953,1682135.5,monastrel
3,34.67897,29.758129,270613.09375,monastrel
4,35.555443,28.962261,208724.015625,monastrel
7,35.649998,28.78948,163578.28125,monastrel
6,35.564491,28.897898,349249.65625,monastrel
5,36.144199,28.329065,30167.333984,monastrel
1,34.453167,29.581034,77411.554688,monastrel
2,35.191246,29.070288,51179.527344,monastrel
0,34.351021,30.52697,184040.265625,monastrel
3,35.336475,29.885437,41612.484375,monastrel
4,36.259212,29.036058,32812.097656,monastrel
7,36.365715,28.908957,26299.568359,monastrel
6,36.243816,29.025663,49459.042969,monastrel
5,36.414391,28.352652,27274.664062,monastrel
1,34.686256,29.613194,85304.898438,monastrel
2,35.436993,29.074814,51057.039062,monastrel
0,34.547581,30.777258,199571.234375,monastrel
3,35.570587,29.867075,42780.75,monastrel
4,36.52874,29.054438,29976.580078,monastrel
6,36.500725,29.026022,43301.757812,monastrel
7,36.637192,28.916216,22881.658203,monastrel
5,36.520985,28.327591,26694.472656,monastrel
