sensor_id,temperature,humidity,gas_resistance,label
0,26.512707,35.230156,547740.0625,garnacha
1,26.501322,34.952553,424720.03125,garnacha
2,26.201279,35.579487,605022.1875,garnacha
3,26.124512,35.118362,481655.6875,garnacha
4,26.187811,34.934052,542085.75,garnacha
5,26.174042,34.750641,542085.75,garnacha
6,26.078602,34.885208,519796.96875,garnacha
7,26.147985,35.268951,413904.59375,garnacha
0,26.433115,35.170784,102400000.0,garnacha
1,26.432251,34.871258,87967784.0,garnacha
2,26.141439,35.510944,102400000.0,garnacha
3,26.109533,35.047623,99259368.0,garnacha
4,26.190304,34.876621,98144512.0,garnacha
5,26.203903,34.701778,102400000.0,garnacha
6,26.04866,34.813271,76695144.0,garnacha
7,26.12291,35.209255,60709588.0,garnacha
0,26.748997,34.606636,102400000.0,garnacha
1,26.812134,34.289604,84726568.0,garnacha
2,26.485523,34.970398,102400000.0,garnacha
3,26.548834,34.53104,95672992.0,garnacha
4,26.631611,34.331894,94228616.0,garnacha
5,26.631908,34.163143,102400000.0,garnacha
6,26.465321,34.26186,74472728.0,garnacha
7,26.531687,34.689034,57970808.0,garnacha
0,27.286249,33.02652,102400000.0,garnacha
1,27.369625,32.477497,83273192.0,garnacha
2,27.071463,33.275532,102400000.0,garnacha
3,27.180334,32.775562,91658744.0,garnacha
4,27.332224,33.023487,90238896.0,garnacha
5,27.346085,33.33865,102400000.0,garnacha
6,27.133978,33.062145,71196088.0,garnacha
7,27.22135,33.441483,55858512.0,garnacha
0,27.885685,33.462769,5280051.5,garnacha
1,27.932056,32.540878,4576536.5,garnacha
2,27.694809,33.525749,5838916.5,garnacha
3,27.751932,32.954342,4810334.5,garnacha
4,27.913162,33.335388,5357750.0,garnacha
5,27.953262,33.888485,5921214.5,garnacha
6,27.720306,33.482597,4686499.0,garnacha
7,27.805685,33.911606,3669429.0,garnacha
0,28.253805,33.719627,5179892.5,garnacha
1,28.287273,32.46064,4515987.0,garnacha
2,28.068821,33.657253,5740715.0,garnacha
3,28.131332,33.058533,4727063.0,garnacha
4,28.297131,33.612667,5214513.0,garnacha
5,28.324041,34.326481,5704735.5,garnacha
6,28.082083,33.85498,4482626.5,garnacha
7,28.15679,34.344482,3515879.75,garnacha
0,28.410507,33.677723,5078735.5,garnacha
1,28.457485,32.227455,4392493.5,garnacha
2,28.250839,33.533588,5599453.0,garnacha
3,28.308554,32.955196,4615211.5,garnacha
4,28.451715,33.610241,5107232.0,garnacha
5,28.478327,34.41637,5593718.0,garnacha
6,28.22929,33.903553,4435300.5,garnacha
7,28.312281,34.445309,3451443.0,garnacha
0,28.716446,33.473724,532362.875,garnacha
1,28.773239,31.979668,417959.1875,garnacha
2,28.567501,33.304409,592935.75,garnacha
3,28.588116,32.724449,474623.40625,garnacha
4,28.740942,33.408363,525397.625,garnacha
5,28.744593,34.177502,524590.1875,garnacha
6,28.533686,33.697643,504433.5,garnacha
7,28.625769,34.264503,399609.75,garnacha
0,29.082083,33.207336,592421.1875,garnacha
1,29.195065,31.662815,469724.78125,garnacha
2,28.991385,33.029251,675684.5625,garnacha
3,29.017445,32.433723,525802.3125,garnacha
4,29.17977,33.043224,605022.1875,garnacha
5,29.17012,33.822094,580828.125,garnacha
6,28.940374,33.347012,584808.6875,garnacha
7,29.02453,33.92091,470372.0625,garnacha
6,29.14996,32.898148,648101.25,garnacha
0,29.273609,32.918976,627835.6875,garnacha
1,29.414616,31.361622,507433.09375,garnacha
2,29.20582,32.566036,726756.5625,garnacha
3,29.247086,32.113308,569205.125,garnacha
