sensor_id,temperature,humidity,gas_resistance,label
0,27.385738,35.069386,295185.9375,air
1,27.347424,34.656338,230423.046875,air
2,27.111359,35.333221,216124.953125,air
3,27.033066,34.768208,173207.03125,air
4,27.165173,34.32,123106.515625,air
5,27.134567,34.263046,175522.796875,air
6,27.021704,34.344048,113374.664062,air
7,27.073385,34.787369,91330.71875,air
0,27.311121,35.004723,39634716.0,air
1,27.29809,34.588467,31469868.0,air
2,27.056503,35.276554,19998780.0,air
3,27.015594,34.714581,18063948.0,air
4,27.175146,34.251915,8524454.0,air
5,27.159451,34.190826,21222798.0,air
6,26.991764,34.255039,6319768.5,air
7,27.038275,34.715382,5170085.0,air
0,27.594671,34.374474,38246864.0,air
1,27.631107,33.945423,30228782.0,air
2,27.368176,34.698853,18990438.0,air
3,27.434931,34.150398,17264488.0,air
4,27.594019,33.660294,7988298.5,air
5,27.567554,33.599613,19799396.0,air
6,27.390965,33.657188,5882944.5,air
7,27.432013,34.097668,4806101.5,air
0,28.01005,32.286385,37268128.0,air
1,28.126932,31.796345,29654298.0,air
2,27.866856,32.614876,18078896.0,air
3,27.974081,32.069805,16482897.0,air
4,28.150024,31.615337,7604548.5,air
5,28.124966,31.520176,18602328.0,air
6,27.947351,31.571854,5537005.5,air
7,28.016348,32.014458,4561247.0,air
0,28.57218,32.084679,2349297.5,air
1,28.686899,31.565704,1988349.5,air
2,28.470257,32.385288,1504223.25,air
3,28.540691,31.803936,1272049.75,air
4,28.713516,31.389118,785878.75,air
5,28.669937,31.259022,1309881.625,air
6,28.508734,31.334749,663857.375,air
7,28.580627,31.768356,534446.75,air
0,28.922894,31.835411,2305657.25,air
1,29.061855,31.323957,1973975.875,air
2,28.861725,32.108162,1501741.5,air
3,28.925089,31.5329,1252216.5,air
4,29.109955,31.113934,778707.25,air
5,29.080536,30.997164,1294973.125,air
6,28.878,31.069128,656199.9375,air
7,28.944275,31.492834,531533.875,air
0,29.06716,31.556225,2252405.75,air
1,29.237003,31.064316,1956999.5,air
2,29.033773,31.81666,1441238.625,air
3,29.127274,31.234236,1234106.625,air
4,29.301945,30.792414,771229.5,air
5,29.272146,30.682116,1262638.75,air
6,29.055149,30.75276,654313.125,air
7,29.129862,31.18462,527020.0625,air
0,29.338278,31.339443,338512.40625,air
1,29.542892,30.839159,261892.578125,air
2,29.35792,31.545027,289183.84375,air
3,29.429302,30.9958,230423.046875,air
4,29.626078,30.511303,195905.875,air
5,29.563299,30.393221,246925.484375,air
6,29.382,30.472635,176066.03125,air
7,29.445862,30.88298,143497.765625,air
0,29.671581,31.072359,434174.25,air
1,29.917852,30.564247,325285.90625,air
2,29.731937,31.261461,402436.625,air
3,29.821194,30.714804,309927.375,air
4,30.037481,30.221294,293157.75,air
5,29.953995,30.113417,327470.40625,air
6,29.768738,30.108295,272775.71875,air
7,29.834591,30.582573,220025.78125,air
0,29.840723,30.751556,509326.03125,air
1,30.102869,30.211124,384745.4375,air
2,29.923931,30.928301,492781.53125,air
3,30.01589,30.37137,381094.15625,air
4,30.251911,29.908541,368477.875,air
5,30.153072,29.783392,399843.8125,air
6,29.975826,29.829468,343970.4375,air
7,30.030212,30.276432,281550.71875,air
1,30.236078,29.870827,427646.6875,air
6,30.098087,29.526836,408945.6875,air
0,29.955139,30.443144,565433.4375,air
2,30.068552,30.59144,558494.6875,air
3,30.178141,30.036894,432797.96875,air
4,30.391541,29.572887,434174.25,air
5,30.294918,29.460102,442332.625,air
7,30.16564,29.915367,324976.1875,air
1,29.829046,29.701372,88502360.0,air
6,29.686398,29.346031,50528912.0,air
0,29.519855,30.242752,102400000.0,air
2,29.632198,30.391842,92630392.0,air
3,29.768774,29.843716,83432208.0,air
4,29.985123,29.397602,70735024.0,air
5,29.899246,29.28071,102400000.0,air
7,29.736782,29.855526,39527140.0,air
1,28.960718,29.132051,83035792.0,air
6,28.823109,28.782944,43939660.0,air
7,28.919195,29.197876,34638476.0,air
0,28.763706,29.809568,102400000.0,air
2,28.747028,29.850374,88234264.0,air
3,28.895136,29.370762,76293368.0,air
4,29.072556,28.800871,62894432.0,air
5,29.028278,28.717037,94534440.0,air
0,28.766193,29.134497,102400000.0,air
1,28.889179,28.46279,78769232.0,air
2,28.677212,29.135921,79848920.0,air
4,28.985287,28.122343,56913592.0,air
6,28.788177,28.132549,39349144.0,air
7,28.906656,28.497421,31222486.0,air
3,28.792795,28.588446,70393128.0,air
5,28.951136,27.996979,86831400.0,air
0,29.410412,29.101038,5336808.0,air
1,29.523157,28.455177,4501099.0,air
2,29.365398,29.106897,4945366.5,air
4,29.641037,28.115816,3786457.25,air
6,29.446873,28.104235,3132696.0,air
7,29.551193,28.47998,2415806.5,air
3,29.439289,28.509432,4014702.25,air
5,29.600628,27.995413,4302521.0,air
