sensor_id,temperature,humidity,gas_resistance,label
0,25.79389,37.634781,171123.0,air
1,25.77363,37.318821,156527.0625,air
2,25.395929,38.092407,154682.78125,air
3,25.313307,37.626411,169592.578125,air
4,25.686666,37.161045,156958.921875,air
5,25.606689,37.028008,173383.0,air
6,25.879002,36.735123,144591.921875,air
7,25.882156,37.194759,98461.539062,air
0,25.744146,37.530849,16082454.0,air
1,25.739096,37.210571,16995850.0,air
2,25.35853,38.013386,11665361.0,air
3,25.308315,37.567291,17305518.0,air
4,25.709106,37.058102,12969721.0,air
5,25.641529,36.949932,21059126.0,air
6,25.864033,36.623032,9324986.0,air
7,25.849554,37.069817,5746755.5,air
0,26.069973,37.007114,15294282.0,air
1,26.121441,36.610641,16058809.0,air
2,25.727543,37.474293,10919027.0,air
3,25.762589,36.999252,16070623.0,air
4,26.157892,36.397541,11906977.0,air
5,26.109344,36.281475,19377882.0,air
6,26.260733,35.861546,8792058.0,air
7,26.278393,36.344769,5394797.5,air
0,26.52763,35.357784,14425710.0,air
1,26.654261,34.663521,15283582.0,air
2,26.271093,35.974342,10330391.0,air
3,26.35664,35.169933,15010536.0,air
4,26.748795,34.348919,11141789.0,air
5,26.699097,34.393349,17842636.0,air
6,26.784679,33.845547,8285208.5,air
7,26.845169,34.417084,5088199.0,air
0,27.072342,35.061527,1142219.75,air
1,27.192017,34.349087,1206835.625,air
2,26.864513,35.673676,966721.75,air
3,26.915752,34.872208,1169617.375,air
4,27.307291,34.051903,1058945.25,air
5,27.249035,34.073223,1286432.125,air
6,27.328588,33.559769,888117.9375,air
7,27.404425,34.117786,576414.3125,air
0,27.420559,34.700489,1122499.375,air
1,27.552166,33.954983,1183815.0,air
2,27.241013,35.266285,963991.5,air
3,27.307632,34.506554,1155756.25,air
4,27.713696,33.694649,1043566.875,air
5,27.659626,33.699947,1260307.75,air
6,27.71282,33.184891,871118.6875,air
7,27.768066,33.754471,573027.4375,air
0,27.574772,34.269794,1113346.0,air
1,27.724844,33.549358,1168616.25,air
2,27.433004,34.852825,953223.1875,air
3,27.509811,34.065601,1135569.75,air
4,27.910669,33.266476,1033299.6875,air
5,27.848749,33.266209,1231879.75,air
6,27.899944,32.769337,866694.875,air
7,27.951145,33.317818,566371.6875,air
0,27.828476,33.866718,235186.03125,air
1,28.015926,33.144398,203255.265625,air
2,27.739691,34.411697,229339.3125,air
3,27.791866,33.650478,227202.125,air
4,28.22233,32.861416,226900.0625,air
5,28.122477,32.886974,246568.75,air
6,28.19935,32.399151,206202.171875,air
7,28.259617,32.939198,147592.96875,air
0,28.181675,33.462509,333550.5,air
1,28.410614,32.727165,277883.3125,air
2,28.131155,33.990929,339185.15625,air
3,28.206217,33.254379,311057.09375,air
4,28.636221,32.477982,324667.09375,air
5,28.515652,32.468311,338177.0,air
6,28.59606,31.987473,302243.21875,air
7,28.643326,32.534309,227808.671875,air
6,28.798161,31.586971,385614.75,air
0,28.338373,33.080082,424455.96875,air
1,28.590693,32.330303,338512.40625,air
2,28.338108,33.530636,425779.625,air
3,28.428366,32.800816,383880.03125,air
4,28.848154,32.036602,410667.75,air
5,28.742102,32.017921,414155.71875,air
7,28.843958,32.10186,291157.25,air
6,28.930395,31.180984,445507.9375,air
7,28.986912,31.670721,340538.75,air
0,28.452789,32.524918,486114.40625,air
1,28.723902,31.890444,396822.3125,air
2,28.477741,32.975101,496003.875,air
3,28.573139,32.36388,432249.90625,air
4,29.005234,31.438234,473635.53125,air
5,28.888922,31.589592,465560.34375,air
6,28.52121,30.862629,58357968.0,air
7,28.570597,31.386063,42199612.0,air
0,28.034922,32.390163,86917768.0,air
1,28.29961,31.671246,76160368.0,air
2,28.046377,32.839096,75633008.0,air
3,28.181255,32.13427,80362968.0,air
4,28.598822,31.361763,80585304.0,air
5,28.488277,31.38369,102400000.0,air
1,27.47323,30.940224,69886432.0,air
6,27.657928,30.20895,52947688.0,air
7,27.735464,30.808544,38180016.0,air
0,27.278784,31.66884,80585304.0,air
2,27.183664,31.99888,68840336.0,air
3,27.3276,31.326439,73968400.0,air
4,27.711203,30.76351,71370544.0,air
5,27.632254,30.592964,100863408.0,air
0,27.293711,30.692604,74031064.0,air
1,27.41156,29.981268,64377212.0,air
2,27.136292,30.895536,62266984.0,air
4,27.621445,29.535065,64710936.0,air
6,27.583078,29.283108,46561988.0,air
7,27.697849,29.706488,33859984.0,air
3,27.24523,30.284897,66031236.0,air
5,27.552624,29.536207,90801528.0,air
0,27.91802,30.63624,4235781.0,air
1,28.062796,29.948658,3831618.25,air
2,27.816986,30.856232,4059464.75,air
4,28.269705,29.551525,4229220.5,air
6,28.216816,29.253584,3564063.5,air
7,28.32482,29.649807,2572864.25,air
3,27.896702,30.20719,3855966.0,air
5,28.187176,29.484722,4607424.0,air
0,28.149338,30.517387,4086804.75,air
1,28.302074,29.824778,3729569.75,air
2,28.071314,30.707239,3869626.75,air
4,28.519037,29.427807,4092930.25,air
6,28.466318,29.130287,3451443.0,air
7,28.565578,29.521191,2486191.25,air
3,28.153799,30.128746,3737226.25,air
5,28.443487,29.361916,4396029.0,air
0,28.25878,30.321058,3985405.0,air
1,28.413082,29.650965,3601670.75,air
2,28.188503,30.535133,3752634.0,air
4,28.656168,29.272205,3994149.25,air
6,28.593563,28.979994,3307226.5,air
7,28.690975,29.34956,2428698.5,air
3,28.273609,29.870403,3599297.0,air
5,28.592794,29.207754,4232498.0,air
0,28.669186,30.201305,511233.15625,air
1,28.871912,29.529413,409436.21875,air
2,28.65976,30.361172,514702.1875,air
4,29.122421,29.116888,488899.5,air
6,29.057644,28.847141,464609.8125,air
7,29.172497,29.225054,355802.65625,air
3,28.725403,29.75848,443482.03125,air
5,29.043207,29.079285,477278.03125,air
0,28.878122,30.002766,566371.6875,air
1,29.103794,29.338364,452896.9375,air
2,28.914087,30.179207,575442.5625,air
3,28.975012,29.5396,489952.15625,air
4,29.376743,28.937958,545551.4375,air
5,29.284588,28.78306,522582.28125,air
6,29.287189,28.655645,517433.0625,air
7,29.408243,29.05744,406510.53125,air
0,28.990051,29.801481,612623.375,air
1,29.241938,29.167141,485768.5,air
2,29.051228,29.965025,617053.3125,air
3,29.12977,29.441183,518612.3125,air
4,29.541306,28.745941,582314.5,air
5,29.438877,28.668434,552170.375,air
6,29.436893,28.474186,558951.9375,air
7,29.538654,28.83683,434174.25,air
0,29.059696,29.591204,644430.4375,air
1,29.318409,28.924343,512000.0,air
2,29.145977,29.725357,653686.5625,air
3,29.217133,29.136126,541655.625,air
4,29.623585,28.536036,607715.125,air
5,29.533438,28.437954,571588.0625,air
6,29.526714,28.265726,582314.5,air
7,29.633957,28.613499,459914.65625,air
0,28.629389,29.448923,102400000.0,air
1,28.864511,28.791903,102400000.0,air
2,28.679707,29.564043,102400000.0,air
3,28.777821,28.959509,102400000.0,air
4,29.182262,28.388014,102400000.0,air
5,29.105419,28.313608,102400000.0,air
6,29.085089,28.151598,90332184.0,air
7,29.202591,28.478237,69552664.0,air
1,27.983856,28.387487,102400000.0,air
6,28.161922,27.739588,82799744.0,air
0,27.801117,29.063744,102400000.0,air
2,27.75465,29.019531,102400000.0,air
3,27.866751,28.566578,102400000.0,air
4,28.22732,27.977036,102400000.0,air
5,28.179712,27.900604,102400000.0,air
7,28.29974,27.992289,62090004.0,air
1,27.833384,28.232138,101685024.0,air
6,28.034678,27.536978,73285992.0,air
7,28.169331,27.883257,55787188.0,air
0,27.72401,28.842573,102400000.0,air
2,27.620007,28.822611,99372248.0,air
3,27.684536,28.296972,97596424.0,air
4,28.050293,27.769569,101685024.0,air
